date,channel,campaign,spend,impressions,clicks,installs
2024-01-01,facebook,new_year_blast,1250.00,45000,2340,156
2024-01-01,google,search_gaming,2100.00,32000,3200,210
2024-01-01,tiktok,viral_challenge,800.00,78000,1560,89
2024-01-01,twitter,influencer_collab,950.00,25000,1250,67
2024-01-01,youtube,video_ads,1800.00,55000,2750,143
2024-01-02,facebook,new_year_blast,1180.00,42000,2184,148
2024-01-02,google,search_gaming,2300.00,35000,3500,231
2024-01-02,tiktok,viral_challenge,750.00,72000,1440,82
2024-01-02,twitter,influencer_collab,1100.00,28000,1400,75
2024-01-02,youtube,video_ads,1950.00,58000,2900,151
2024-01-03,facebook,retargeting_q1,1450.00,38000,2280,165
2024-01-03,google,search_gaming,2050.00,31000,3100,203
2024-01-03,tiktok,gaming_trends,900.00,85000,1700,97
2024-01-03,twitter,community_boost,850.00,22000,1100,58
2024-01-03,youtube,creator_partnership,2200.00,62000,3100,179
2024-01-04,facebook,retargeting_q1,1320.00,35000,2100,145
2024-01-04,google,display_network,1750.00,48000,2400,134
2024-01-04,tiktok,gaming_trends,1050.00,91000,1820,103
2024-01-04,twitter,community_boost,780.00,20000,1000,53
2024-01-04,youtube,creator_partnership,2100.00,59000,2950,171
2024-01-05,facebook,lookalike_expansion,1680.00,41000,2460,178
2024-01-05,google,display_network,1850.00,52000,2600,145
2024-01-05,tiktok,hashtag_campaign,1200.00,95000,1900,108
2024-01-05,twitter,trending_topics,920.00,24000,1200,64
2024-01-05,youtube,shorts_promotion,1750.00,47000,2350,136
2024-01-06,facebook,lookalike_expansion,1590.00,39000,2340,169
2024-01-06,google,shopping_ads,2250.00,28000,2800,189
2024-01-06,tiktok,hashtag_campaign,1100.00,88000,1760,100
2024-01-06,twitter,trending_topics,1050.00,26000,1300,69
2024-01-06,youtube,shorts_promotion,1900.00,51000,2550,148
2024-01-07,facebook,weekend_special,2100.00,55000,3300,234
2024-01-07,google,shopping_ads,2400.00,30000,3000,203
2024-01-07,tiktok,weekend_viral,1400.00,105000,2100,119
2024-01-07,twitter,weekend_engagement,1200.00,32000,1600,85
2024-01-07,youtube,premium_placement,2500.00,68000,3400,196
2024-01-08,facebook,monday_momentum,1850.00,46000,2760,194
2024-01-08,google,broad_match_test,2150.00,33000,3300,218
2024-01-08,tiktok,monday_boost,950.00,82000,1640,93
2024-01-08,twitter,weekday_push,900.00,25000,1250,66
2024-01-08,youtube,targeted_demo,2200.00,61000,3050,177
2024-01-09,facebook,monday_momentum,1720.00,43000,2580,181
2024-01-09,google,broad_match_test,2300.00,35000,3500,231
2024-01-09,tiktok,engagement_boost,1150.00,89000,1780,101
2024-01-09,twitter,weekday_push,1000.00,27000,1350,72
2024-01-09,youtube,targeted_demo,2050.00,57000,2850,165
2024-01-10,facebook,mid_week_push,1950.00,49000,2940,207
2024-01-10,google,exact_match_focus,2500.00,26000,2600,176
2024-01-10,tiktok,engagement_boost,1300.00,96000,1920,109
2024-01-10,twitter,mid_week_connect,1150.00,29000,1450,77
2024-01-10,youtube,algorithm_boost,2350.00,64000,3200,185
